Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 94,   Concat, 256, 24, 24, 256, 24, 24, 256,  COL, 0, 0, 599, 600, 1, 1, 1,,,,,,,,, L2, DMA, 704, 704, 256, 180224, 0, 0, ,,,,,,,, MSMC, CPU, 704, 651, 256, 180352, 26, 10866, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 95,     Conv, 256, 24, 24, 256, 24, 24, 256, ROW_L, 0, 0, 600, 600, 1, 1, 1,,,,,,,,, L2, DMA, 704, 704, 256, 180224, 0, 0, ,,,,,,,, MSMC, CPU, 704, 651, 256, 180352, 26, 10866, ,,,,,,,, L2, DMA, 320, 257, 256, 81920, 0, 2c000, ,,,,,,,, 
 96,     Conv, 256, 24, 24, 21, 24, 24, 256, ROW_L, 0, 0, 600, 600, 1, 1, 1,,,,,,,,, L2, DMA, 704, 704, 256, 180224, 0, 0, ,,,,,,,, MSMC, CPU, 704, 651, 21, 14976, 26, cde6, ,,,,,,,, L2, DMA, 320, 257, 21, 6784, 0, 2c000, ,,,,,,,, 
 97,     Conv, 256, 24, 24, 256, 12, 12, 256, ROW_L, 26, 26, 250, 626, 3, 12, 12,,,,,,,,, L2, DMA, 576, 576, 256, 147712, 0, 0, ,,,,,,,, MSMC, CPU, 192, 145, 256, 49280, 0, f4200, ,,,,,,,, L2, DMA, 2368, 2305, 128, 303104, 0, 24100, MSMC, DMA, 2368, 2368, 256, 606208, 0, 3c880, 
 98,   Concat, 512, 12, 12, 512, 12, 12, 512,  COL, 0, 0, 144, 144, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 512, 98304, 0, 0, ,,,,,,,, MSMC, CPU, 192, 183, 512, 98432, 14, 10872, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 99,     Conv, 512, 12, 12, 192, 12, 12, 512, ROW_L, 0, 0, 156, 156, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 512, 98304, 0, 0, ,,,,,,,, MSMC, CPU, 192, 183, 192, 36992, 14, 288f2, ,,,,,,,, L2, DMA, 576, 513, 192, 110592, 0, 18000, ,,,,,,,, 
 100,     Conv, 192, 12, 12, 192, 12, 12, 192, ROW_L, 0, 0, 156, 156, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 192, 36864, 0, 0, ,,,,,,,, MSMC, CPU, 192, 183, 192, 36992, 14, 288f2, ,,,,,,,, L2, DMA, 320, 193, 192, 61440, 0, 9000, ,,,,,,,, 
 101,     Conv, 192, 12, 12, 192, 12, 12, 192, ROW_L, 28, 64, 119, 183, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 192, 36864, 0, 0, ,,,,,,,, MSMC, CPU, 192, 183, 192, 36992, 14, 31972, ,,,,,,,, L2, DMA, 1856, 1729, 192, 356352, 0, 9000, ,,,,,,,, 
 102,     Conv, 512, 12, 12, 192, 12, 12, 512, ROW_L, 0, 0, 156, 156, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 512, 98304, 0, 0, ,,,,,,,, MSMC, CPU, 192, 183, 192, 36992, 14, 3a9f2, ,,,,,,,, L2, DMA, 576, 513, 192, 110592, 0, 18000, ,,,,,,,, 
 103,   Concat, 384, 12, 12, 384, 12, 12, 384,  COL, 0, 0, 155, 156, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 384, 73728, 0, 0, ,,,,,,,, MSMC, CPU, 192, 183, 384, 73856, 14, 10872, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 104,     Conv, 384, 12, 12, 384, 12, 12, 384, ROW_L, 0, 0, 156, 156, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 384, 73728, 0, 0, ,,,,,,,, MSMC, CPU, 192, 183, 384, 73856, 14, 10872, ,,,,,,,, L2, DMA, 448, 385, 384, 172032, 0, 12000, ,,,,,,,, 
 105,     Conv, 384, 12, 12, 21, 12, 12, 384, ROW_L, 0, 0, 156, 156, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 384, 73728, 0, 0, ,,,,,,,, MSMC, CPU, 192, 183, 21, 4224, 14, 228f2, ,,,,,,,, L2, DMA, 448, 385, 21, 9472, 0, 12000, ,,,,,,,, 
 106,     Conv, 384, 12, 12, 384, 6, 6, 384, ROW_L, 14, 14, 52, 170, 3, 21, 21,,,,,,,,, L2, DMA, 128, 128, 384, 49280, 0, 0, ,,,,,,,, MSMC, CPU, 37, 37, 384, 17408, 0, 118300, ,,,,,,,, L2, DMA, 3520, 3457, 116, 408320, 0, c080, MSMC, DMA_ONCE, 4253, 4253, 384, 1633280, 0, 505300, 
 107,   Concat, 768, 6, 6, 768, 6, 6, 768,  COL, 0, 0, 36, 36, 1, 1, 1,,,,,,,,, L2, DMA, 36, 36, 768, 27648, 0, 0, ,,,,,,,, MSMC, CPU, 57, 57, 768, 43904, 8, 10878, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 108,     Conv, 768, 6, 6, 256, 6, 6, 768, ROW_L, 0, 0, 42, 42, 1, 1, 1,,,,,,,,, L2, DMA, 42, 42, 768, 32256, 0, 0, ,,,,,,,, MSMC, CPU, 57, 57, 256, 14720, 8, 1b3f8, ,,,,,,,, L2, DMA, 832, 769, 256, 212992, 0, 7e00, ,,,,,,,, 
 109,     Conv, 256, 6, 6, 256, 6, 6, 256, ROW_L, 0, 0, 42, 42, 1, 1, 1,,,,,,,,, L2, DMA, 42, 42, 256, 10752, 0, 0, ,,,,,,,, MSMC, CPU, 57, 57, 256, 14720, 8, 1b3f8, ,,,,,,,, L2, DMA, 320, 257, 256, 81920, 0, 2a00, ,,,,,,,, 
 110,     Conv, 256, 6, 6, 256, 6, 6, 256, ROW_L, 0, 0, 57, 57, 1, 4, 4,,,,,,,,, L2, DMA, 57, 57, 256, 14592, 0, 0, ,,,,,,,, MSMC, CPU, 57, 57, 256, 14720, 8, b7978, ,,,,,,,, L2, DMA, 2368, 2305, 128, 303104, 0, 3900, MSMC, DMA, 2368, 2368, 256, 606208, 0, 23900, 
 111,     Conv, 768, 6, 6, 256, 6, 6, 768, ROW_L, 0, 0, 42, 42, 1, 1, 1,,,,,,,,, L2, DMA, 42, 42, 768, 32256, 0, 0, ,,,,,,,, MSMC, CPU, 57, 57, 256, 14720, 8, bb2f8, ,,,,,,,, L2, DMA, 832, 769, 256, 212992, 0, 7e00, ,,,,,,,, 
 112,   Concat, 512, 6, 6, 512, 6, 6, 512,  COL, 0, 0, 41, 42, 1, 1, 1,,,,,,,,, L2, DMA, 57, 57, 512, 29184, 0, 0, ,,,,,,,, MSMC, CPU, 36, 36, 512, 18560, 0, 10800, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 113,     Conv, 512, 6, 6, 512, 6, 6, 512, ROW_L, 0, 0, 36, 36, 1, 1, 1,,,,,,,,, L2, DMA, 36, 36, 512, 18432, 0, 0, ,,,,,,,, MSMC, CPU, 36, 36, 512, 18560, 0, 15080, ,,,,,,,, L2, DMA, 576, 513, 512, 294912, 0, 4800, ,,,,,,,, 
 114,     Conv, 512, 6, 6, 21, 6, 6, 512, ROW_L, 0, 0, 36, 36, 1, 1, 1,,,,,,,,, L2, DMA, 36, 36, 512, 18432, 0, 0, ,,,,,,,, MSMC, CPU, 36, 36, 21, 896, 0, 10800, ,,,,,,,, L2, DMA, 576, 513, 21, 12160, 0, 4800, ,,,,,,,, 
 115, DetectionOutput, 21, 48, 48, 1, 2104, 1, 21,  COL, 0, 0, 2304, 2304, 3, 1, 3,,,,,,,,, L2, DMA, 2368, 2368, 14, 33152, 0, 0, ,,,,,,,, MSMC, CPU, 8512, 8416, 1, 8704, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 116, ODOutputReformat, 1, 2104, 1, 1, 6, 300, 1,  COL, 0, 0, 2104, 2104, 1, 1, 1,,,,,,,,, L2, DMA, 2112, 2112, 1, 2176, 0, 0, MSMC, NA, 7200, 0, 1, 7296, 0, 0, DDR, DMA, 7200, 7200, 1, 8320, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 117,     Data, 1, 6, 300, 0, 0, 0, 1, FRAME, 0, 0, 1800, 1800, 1, 1, 1,,,,,,,,, L2, DMA, 8512, 1800, 1, 8704, 0, 0, ,,,,,,,, DDR, DMA, 148612, 0, 0, 446976, 0, 7e, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
