Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 48,     Conv, 512, 6, 6, 256, 6, 6, 512, ROW_L, 0, 0, 42, 42, 1, 1, 1,,,,,,,,, L2, DMA, 42, 42, 512, 21504, 0, 0, ,,,,,,,, MSMC, CPU, 57, 57, 256, 14720, 8, 72f8, ,,,,,,,, L2, DMA, 576, 513, 256, 147456, 0, 5400, ,,,,,,,, 
 49,     Pool, 256, 6, 6, 256, 6, 6, 256,  COL, 0, 0, 57, 57, 1, 1, 1,,,,,,,,, L2, DMA, 57, 57, 256, 14592, 0, 0, ,,,,,,,, MSMC, CPU, 57, 57, 256, 14720, 8, ac78, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 50,     Pool, 256, 6, 6, 256, 6, 6, 256,  COL, 0, 0, 57, 57, 1, 1, 1,,,,,,,,, L2, DMA, 57, 57, 256, 14592, 0, 0, ,,,,,,,, MSMC, CPU, 57, 57, 256, 14720, 8, e5f8, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 51,     Pool, 256, 6, 6, 256, 6, 6, 256,  COL, 0, 0, 57, 57, 1, 1, 1,,,,,,,,, L2, DMA, 57, 57, 256, 14592, 0, 0, ,,,,,,,, MSMC, CPU, 57, 57, 256, 14720, 8, 11f78, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 52,   Concat, 1024, 6, 6, 1024, 6, 6, 1024,  COL, 0, 0, 41, 42, 4, 1, 4,,,,,,,,, L2, DMA, 57, 57, 512, 29184, 0, 0, ,,,,,,,, MSMC, CPU, 57, 57, 1024, 58496, 8, 72f8, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 53,     Conv, 1024, 6, 6, 512, 6, 6, 1024, ROW_L, 0, 0, 42, 42, 1, 4, 4,,,,,,,,, L2, DMA, 42, 42, 1024, 43008, 0, 0, ,,,,,,,, MSMC, CPU, 57, 57, 512, 29312, 8, 78, ,,,,,,,, L2, DMA, 1088, 1025, 256, 278528, 0, a800, MSMC, DMA, 1088, 1088, 512, 557056, 0, 118300, 
 54,     Conv, 512, 6, 6, 256, 6, 6, 512, ROW_L, 0, 0, 42, 42, 1, 1, 1,,,,,,,,, L2, DMA, 42, 42, 512, 21504, 0, 0, ,,,,,,,, MSMC, CPU, 57, 57, 256, 14720, 8, 72f8, ,,,,,,,, L2, DMA, 576, 513, 256, 147456, 0, 5400, ,,,,,,,, 
 55,     Conv, 256, 6, 6, 256, 6, 6, 256, ROW_L, 0, 0, 42, 42, 1, 1, 1,,,,,,,,, L2, DMA, 42, 42, 256, 10752, 0, 0, ,,,,,,,, MSMC, CPU, 57, 57, 256, 14720, 8, 72f8, ,,,,,,,, L2, DMA, 320, 257, 256, 81920, 0, 2a00, ,,,,,,,, 
 56,     Conv, 256, 6, 6, 256, 6, 6, 256, ROW_L, 0, 0, 57, 57, 1, 4, 4,,,,,,,,, L2, DMA, 57, 57, 256, 14592, 0, 0, ,,,,,,,, MSMC, CPU, 57, 57, 256, 14720, 8, ac78, ,,,,,,,, L2, DMA, 2368, 2305, 128, 303104, 0, 3900, MSMC, DMA, 2368, 2368, 256, 606208, 0, 118300, 
 57,     Conv, 512, 6, 6, 256, 6, 6, 512, ROW_L, 0, 0, 42, 42, 1, 1, 1,,,,,,,,, L2, DMA, 42, 42, 512, 21504, 0, 0, ,,,,,,,, MSMC, CPU, 57, 57, 256, 14720, 8, e5f8, ,,,,,,,, L2, DMA, 576, 513, 256, 147456, 0, 5400, ,,,,,,,, 
 58,   Concat, 512, 6, 6, 512, 6, 6, 512,  COL, 0, 0, 41, 42, 1, 1, 1,,,,,,,,, L2, DMA, 57, 57, 512, 29184, 0, 0, ,,,,,,,, MSMC, CPU, 57, 57, 512, 29312, 8, 78, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 59,     Conv, 512, 6, 6, 512, 6, 6, 512, ROW_L, 0, 0, 42, 42, 1, 1, 1,,,,,,,,, L2, DMA, 42, 42, 512, 21504, 0, 0, ,,,,,,,, MSMC, CPU, 57, 57, 512, 29312, 8, 72f8, ,,,,,,,, L2, DMA, 576, 513, 512, 294912, 0, 5400, MSMC, DMA_ONCE, 576, 576, 512, 294912, 0, 771f00, 
 60,     Conv, 512, 6, 6, 384, 6, 6, 512, ROW_L, 0, 0, 42, 42, 1, 1, 1,,,,,,,,, L2, DMA, 42, 42, 512, 21504, 0, 0, ,,,,,,,, MSMC, CPU, 57, 57, 384, 22016, 8, 11c778, ,,,,,,,, L2, DMA, 576, 513, 384, 221184, 0, 5400, ,,,,,,,, 
 61,   Resize, 384, 6, 6, 384, 12, 12, 384,  COL, 0, 0, 57, 50, 1, 1, 1,,,,,,,,, L2, DMA, 57, 57, 384, 21888, 0, 0, ,,,,,,,, MSMC, CPU, 192, 183, 384, 73856, 14, f4272, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 62,   Concat, 768, 12, 12, 768, 12, 12, 768,  COL, 0, 0, 155, 156, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 768, 147456, 0, 0, ,,,,,,,, MSMC, CPU, 192, 183, 768, 147584, 14, 72, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
